iteration,population,w0,w1,w2,w3,segregation
4, 92,  0.79, 0.77, 0.07, 0.49 , 0.8526076794503639
4, 93,  0.79, 0.77, 0.07, 0.51 , 0.9325589171477683
4, 94,  0.79, 0.77, 0.07, 0.5 , 1.329550751977637
4, 95,  0.79, 0.77, 0.09, 0.49 , 0.8587405509143705
4, 96,  0.79, 0.77, 0.09, 0.51 , 1.1654119997368921
4, 97,  0.79, 0.77, 0.09, 0.5 , 1.4176664478801881
4, 98,  0.79, 0.77, 0.08, 0.49 , 1.3968520360764418
4, 99,  0.79, 0.77, 0.08, 0.51 , 1.2494129985934408
4, 100,  0.79, 0.77, 0.08, 0.5 , 0.8954402313753987
4, 101,  0.79, 0.79, 0.07, 0.49 , 1.2840697924429842
4, 102,  0.79, 0.79, 0.07, 0.51 , 1.5446369322385918
4, 103,  0.79, 0.79, 0.07, 0.5 , 1.1706867140949169
4, 104,  0.79, 0.78, 0.07, 0.49 , 1.2610185032496184
4, 105,  0.79, 0.78, 0.07, 0.51 , 1.2606741844421163
4, 106,  0.79, 0.78, 0.07, 0.5 , 1.4605074889143643
4, 107,  0.78, 0.77, 0.07, 0.49 , 0.9216533823358919
4, 108,  0.78, 0.77, 0.07, 0.51 , 1.1526443420295547
4, 109,  0.78, 0.77, 0.07, 0.5 , 1.5056588043167527
4, 110,  0.78, 0.77, 0.09, 0.49 , 1.2505728841143322
4, 111,  0.78, 0.77, 0.09, 0.51 , 0.8081417057437689
4, 112,  0.78, 0.77, 0.09, 0.5 , 1.0118494205161201
4, 113,  0.78, 0.77, 0.08, 0.49 , 0.9835429991716598
4, 114,  0.78, 0.77, 0.08, 0.51 , 1.1867837403463788
4, 115,  0.78, 0.77, 0.08, 0.5 , 0.775741948381309
4, 116,  0.78, 0.79, 0.07, 0.49 , 0.9191977398764618
4, 117,  0.78, 0.79, 0.07, 0.51 , 0.9619280399857864
